rank	model_name	score	cluster_id
1	rigidbody_134.pdb	25.58	-
2	rigidbody_160.pdb	31.54	-
3	rigidbody_17.pdb	44.17	-
4	rigidbody_19.pdb	48.87	-
5	rigidbody_104.pdb	61.55	-
6	rigidbody_175.pdb	62.84	-
7	rigidbody_148.pdb	66.12	1
8	rigidbody_59.pdb	67.26	-
9	rigidbody_96.pdb	67.86	-
10	rigidbody_150.pdb	68.52	-
11	rigidbody_169.pdb	72.25	-
12	rigidbody_57.pdb	72.91	-
13	rigidbody_71.pdb	73.37	-
14	rigidbody_136.pdb	73.46	-
15	rigidbody_66.pdb	74.35	1
16	rigidbody_107.pdb	74.73	1
17	rigidbody_198.pdb	75.11	-
18	rigidbody_88.pdb	76.03	1
19	rigidbody_112.pdb	76.35	-
20	rigidbody_111.pdb	76.82	-
21	rigidbody_188.pdb	78.48	-
22	rigidbody_177.pdb	79.09	-
23	rigidbody_124.pdb	79.99	-
24	rigidbody_35.pdb	80.16	-
25	rigidbody_137.pdb	80.45	-
26	rigidbody_196.pdb	80.71	-
27	rigidbody_151.pdb	80.83	-
28	rigidbody_47.pdb	81.44	1
29	rigidbody_29.pdb	81.80	-
30	rigidbody_1.pdb	81.87	-
31	rigidbody_170.pdb	82.68	-
32	rigidbody_82.pdb	83.71	-
33	rigidbody_141.pdb	83.87	-
34	rigidbody_33.pdb	83.88	-
35	rigidbody_16.pdb	84.31	-
36	rigidbody_183.pdb	84.41	-
37	rigidbody_56.pdb	84.42	-
38	rigidbody_22.pdb	84.88	1
39	rigidbody_62.pdb	85.24	-
40	rigidbody_2.pdb	85.35	-
41	rigidbody_94.pdb	85.66	-
42	rigidbody_99.pdb	85.69	-
43	rigidbody_103.pdb	85.94	1
44	rigidbody_197.pdb	86.22	-
45	rigidbody_37.pdb	86.67	-
46	rigidbody_119.pdb	86.82	-
47	rigidbody_42.pdb	87.18	-
48	rigidbody_127.pdb	87.21	-
49	rigidbody_166.pdb	87.77	-
50	rigidbody_68.pdb	87.85	-
51	rigidbody_200.pdb	88.24	-
52	rigidbody_87.pdb	88.32	1
53	rigidbody_125.pdb	88.43	-
54	rigidbody_159.pdb	88.71	-
55	rigidbody_8.pdb	89.41	1
56	rigidbody_101.pdb	89.88	1
57	rigidbody_85.pdb	90.01	1
58	rigidbody_120.pdb	90.39	-
59	rigidbody_54.pdb	90.46	-
60	rigidbody_92.pdb	91.29	-
61	rigidbody_77.pdb	91.33	-
62	rigidbody_7.pdb	91.58	-
63	rigidbody_12.pdb	91.99	-
64	rigidbody_165.pdb	92.25	-
65	rigidbody_52.pdb	92.43	1
66	rigidbody_123.pdb	92.51	-
67	rigidbody_6.pdb	92.57	-
68	rigidbody_86.pdb	92.93	-
69	rigidbody_10.pdb	93.23	1
70	rigidbody_106.pdb	93.64	-
71	rigidbody_31.pdb	94.09	1
72	rigidbody_9.pdb	94.56	-
73	rigidbody_100.pdb	94.68	1
74	rigidbody_147.pdb	94.86	-
75	rigidbody_80.pdb	95.06	1
76	rigidbody_49.pdb	95.11	-
77	rigidbody_185.pdb	95.16	-
78	rigidbody_32.pdb	95.44	-
79	rigidbody_50.pdb	95.63	1
80	rigidbody_157.pdb	96.45	-
81	rigidbody_25.pdb	96.93	-
82	rigidbody_34.pdb	97.56	-
83	rigidbody_46.pdb	97.58	1
84	rigidbody_152.pdb	97.71	-
85	rigidbody_63.pdb	97.76	-
86	rigidbody_129.pdb	97.78	-
87	rigidbody_36.pdb	98.10	1
88	rigidbody_65.pdb	98.31	-
89	rigidbody_26.pdb	98.43	1
90	rigidbody_41.pdb	98.65	1
91	rigidbody_5.pdb	98.71	1
92	rigidbody_189.pdb	99.17	-
93	rigidbody_97.pdb	99.24	-
94	rigidbody_133.pdb	99.34	-
95	rigidbody_76.pdb	99.60	-
96	rigidbody_64.pdb	100.69	-
97	rigidbody_90.pdb	100.90	-
98	rigidbody_43.pdb	101.57	-
99	rigidbody_53.pdb	101.59	1
100	rigidbody_13.pdb	102.20	1
101	rigidbody_55.pdb	102.41	-
102	rigidbody_51.pdb	102.41	-
103	rigidbody_67.pdb	102.95	-
104	rigidbody_172.pdb	103.17	-
105	rigidbody_30.pdb	103.24	-
106	rigidbody_182.pdb	103.80	-
107	rigidbody_72.pdb	104.16	-
108	rigidbody_95.pdb	104.18	-
109	rigidbody_184.pdb	104.90	-
110	rigidbody_121.pdb	104.99	-
111	rigidbody_93.pdb	105.57	1
112	rigidbody_21.pdb	105.82	-
113	rigidbody_153.pdb	106.47	1
114	rigidbody_178.pdb	106.49	-
115	rigidbody_193.pdb	106.82	-
116	rigidbody_83.pdb	107.34	-
117	rigidbody_91.pdb	107.37	-
118	rigidbody_195.pdb	107.88	-
119	rigidbody_117.pdb	108.73	-
120	rigidbody_156.pdb	108.97	-
121	rigidbody_142.pdb	109.02	-
122	rigidbody_105.pdb	109.24	-
123	rigidbody_40.pdb	109.65	-
124	rigidbody_3.pdb	109.69	-
125	rigidbody_102.pdb	109.87	-
126	rigidbody_167.pdb	110.36	-
127	rigidbody_192.pdb	110.65	-
128	rigidbody_28.pdb	110.97	-
129	rigidbody_176.pdb	111.05	-
130	rigidbody_161.pdb	111.23	-
131	rigidbody_164.pdb	111.81	-
132	rigidbody_81.pdb	111.86	1
133	rigidbody_145.pdb	112.06	-
134	rigidbody_109.pdb	112.74	1
135	rigidbody_69.pdb	112.82	1
136	rigidbody_113.pdb	113.44	1
137	rigidbody_128.pdb	113.69	-
138	rigidbody_162.pdb	113.71	-
139	rigidbody_135.pdb	114.39	1
140	rigidbody_39.pdb	114.95	-
141	rigidbody_180.pdb	115.05	1
142	rigidbody_171.pdb	115.07	1
143	rigidbody_44.pdb	115.20	-
144	rigidbody_191.pdb	115.23	-
145	rigidbody_190.pdb	115.62	-
146	rigidbody_73.pdb	115.71	-
147	rigidbody_122.pdb	115.81	1
148	rigidbody_15.pdb	115.97	-
149	rigidbody_79.pdb	116.63	-
150	rigidbody_60.pdb	116.96	-
151	rigidbody_173.pdb	116.98	-
152	rigidbody_45.pdb	117.08	-
153	rigidbody_199.pdb	118.69	-
154	rigidbody_132.pdb	119.06	-
155	rigidbody_75.pdb	119.20	-
156	rigidbody_61.pdb	119.41	-
157	rigidbody_144.pdb	119.69	-
158	rigidbody_24.pdb	120.13	-
159	rigidbody_78.pdb	120.35	1
160	rigidbody_130.pdb	120.56	1
161	rigidbody_194.pdb	120.97	-
162	rigidbody_89.pdb	121.51	1
163	rigidbody_143.pdb	121.82	-
164	rigidbody_187.pdb	121.92	1
165	rigidbody_115.pdb	122.68	-
166	rigidbody_18.pdb	123.00	1
167	rigidbody_4.pdb	123.85	-
168	rigidbody_139.pdb	124.31	-
169	rigidbody_70.pdb	124.77	-
170	rigidbody_131.pdb	125.37	-
171	rigidbody_11.pdb	126.65	-
172	rigidbody_140.pdb	126.88	-
173	rigidbody_74.pdb	127.12	1
174	rigidbody_168.pdb	127.66	-
175	rigidbody_84.pdb	128.51	-
176	rigidbody_163.pdb	128.96	-
177	rigidbody_48.pdb	129.20	-
178	rigidbody_186.pdb	129.66	-
179	rigidbody_58.pdb	129.80	-
180	rigidbody_138.pdb	129.93	-
181	rigidbody_174.pdb	130.64	1
182	rigidbody_23.pdb	130.80	-
183	rigidbody_27.pdb	130.92	-
184	rigidbody_154.pdb	130.93	-
185	rigidbody_126.pdb	131.39	-
186	rigidbody_181.pdb	132.08	-
187	rigidbody_20.pdb	133.33	-
