rank	model_name	score	cluster_id
1	flexref_36.pdb	-177.98	1
2	flexref_38.pdb	-163.42	1
3	flexref_32.pdb	-156.64	1
4	flexref_31.pdb	-150.23	1
5	flexref_35.pdb	-142.08	1
6	flexref_33.pdb	-134.78	1
7	flexref_40.pdb	-127.37	1
8	flexref_34.pdb	-127.27	1
9	flexref_39.pdb	-113.17	1
10	flexref_3.pdb	-111.17	-
11	flexref_4.pdb	-104.20	-
12	flexref_37.pdb	-101.10	1
13	flexref_9.pdb	-88.68	-
14	flexref_8.pdb	-79.85	-
15	flexref_10.pdb	-79.55	-
16	flexref_7.pdb	-77.82	-
17	flexref_17.pdb	-71.18	-
18	flexref_1.pdb	-67.64	-
19	flexref_2.pdb	-64.10	-
20	flexref_6.pdb	-62.60	-
21	flexref_25.pdb	-28.19	-
22	flexref_18.pdb	-27.18	-
23	flexref_5.pdb	-26.07	-
24	flexref_11.pdb	-23.40	-
25	flexref_22.pdb	-18.78	-
26	flexref_27.pdb	-17.71	-
27	flexref_26.pdb	-9.19	-
28	flexref_15.pdb	-2.75	-
29	flexref_29.pdb	-2.21	-
30	flexref_21.pdb	0.72	-
31	flexref_16.pdb	0.99	-
32	flexref_23.pdb	2.25	-
33	flexref_14.pdb	3.42	-
34	flexref_24.pdb	4.99	-
35	flexref_28.pdb	6.44	-
36	flexref_30.pdb	10.20	-
37	flexref_13.pdb	13.58	-
38	flexref_12.pdb	14.60	-
39	flexref_19.pdb	38.66	-
40	flexref_20.pdb	43.71	-

