rank	model_name	score	cluster_id
1	flexref_2.pdb	-78.40	1
2	flexref_1.pdb	-59.54	1
3	flexref_4.pdb	-58.26	1
4	flexref_3.pdb	-57.28	1
5	flexref_9.pdb	-55.70	1
6	flexref_7.pdb	-50.03	1
7	flexref_8.pdb	-39.62	1
8	flexref_5.pdb	-37.95	1
9	flexref_6.pdb	-32.14	1
10	flexref_11.pdb	-20.80	-
11	flexref_14.pdb	-18.95	-
12	flexref_12.pdb	-17.04	-
13	flexref_10.pdb	-14.77	1
14	flexref_16.pdb	-11.61	-
15	flexref_13.pdb	-8.46	-
16	flexref_18.pdb	1.35	-
17	flexref_17.pdb	17.85	-
18	flexref_15.pdb	23.63	-
19	flexref_20.pdb	25.21	-
20	flexref_19.pdb	26.00	-

