structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-122.44521
mdscoring_2.pdb	mdref_2.pdb	None	-105.272366
mdscoring_3.pdb	mdref_3.pdb	None	-105.51606000000001
mdscoring_4.pdb	mdref_4.pdb	None	-98.219201
mdscoring_5.pdb	mdref_5.pdb	None	-98.245222
mdscoring_6.pdb	mdref_6.pdb	None	-90.18257
mdscoring_7.pdb	mdref_7.pdb	None	-107.23866000000001
mdscoring_8.pdb	mdref_8.pdb	None	-123.88776000000001
mdscoring_9.pdb	mdref_9.pdb	None	-103.26073000000001
mdscoring_10.pdb	mdref_10.pdb	None	-107.7008
