structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-145.33995000000002
mdscoring_2.pdb	mdref_2.pdb	None	-160.23543
mdscoring_3.pdb	mdref_3.pdb	None	-148.10675
mdscoring_4.pdb	mdref_4.pdb	None	-157.90709900000002
mdscoring_5.pdb	mdref_5.pdb	None	-145.61020000000002
mdscoring_6.pdb	mdref_6.pdb	None	-162.375758
mdscoring_7.pdb	mdref_7.pdb	None	-174.46046
mdscoring_8.pdb	mdref_8.pdb	None	-159.03831
mdscoring_9.pdb	mdref_9.pdb	None	-178.29145
mdscoring_10.pdb	mdref_10.pdb	None	-146.691428
