structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-111.84512400000001
mdscoring_2.pdb	mdref_2.pdb	None	-109.79814999999999
mdscoring_3.pdb	mdref_3.pdb	None	-138.91110999999998
mdscoring_4.pdb	mdref_4.pdb	None	-109.329085
mdscoring_5.pdb	mdref_5.pdb	None	-105.33161999999999
mdscoring_6.pdb	mdref_6.pdb	None	-83.1724
mdscoring_7.pdb	mdref_7.pdb	None	-86.50607000000001
mdscoring_8.pdb	mdref_8.pdb	None	-96.69306
mdscoring_9.pdb	mdref_9.pdb	None	-84.45059000000002
mdscoring_10.pdb	mdref_10.pdb	None	-101.17956000000002
