structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-122.37342
mdscoring_2.pdb	mdref_2.pdb	None	-110.32469
mdscoring_3.pdb	mdref_3.pdb	None	-102.41539999999999
mdscoring_4.pdb	mdref_4.pdb	None	-118.10682
mdscoring_5.pdb	mdref_5.pdb	None	-103.03490000000001
mdscoring_6.pdb	mdref_6.pdb	None	-107.11930000000001
mdscoring_7.pdb	mdref_7.pdb	None	-100.37317
mdscoring_8.pdb	mdref_8.pdb	None	-113.09831
mdscoring_9.pdb	mdref_9.pdb	None	-110.96897
mdscoring_10.pdb	mdref_10.pdb	None	-100.99668
