structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-102.57560000000001
mdscoring_2.pdb	mdref_2.pdb	None	-128.88670000000002
mdscoring_3.pdb	mdref_3.pdb	None	-111.74920000000002
mdscoring_4.pdb	mdref_4.pdb	None	-128.0266
mdscoring_5.pdb	mdref_5.pdb	None	-107.449
mdscoring_6.pdb	mdref_6.pdb	None	-120.0652
mdscoring_7.pdb	mdref_7.pdb	None	-133.01069999999999
mdscoring_8.pdb	mdref_8.pdb	None	-111.48939999999999
mdscoring_9.pdb	mdref_9.pdb	None	-128.81300000000002
mdscoring_10.pdb	mdref_10.pdb	None	-103.5307
