structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-100.62125
mdscoring_2.pdb	mdref_2.pdb	None	-82.8816
mdscoring_3.pdb	mdref_3.pdb	None	-114.10670000000002
mdscoring_4.pdb	mdref_4.pdb	None	-119.84590000000001
mdscoring_5.pdb	mdref_5.pdb	None	-107.92848000000001
mdscoring_6.pdb	mdref_6.pdb	None	-77.73639999999999
mdscoring_7.pdb	mdref_7.pdb	None	-99.4455
mdscoring_8.pdb	mdref_8.pdb	None	-98.79313
mdscoring_9.pdb	mdref_9.pdb	None	-91.9699
mdscoring_10.pdb	mdref_10.pdb	None	-72.57950000000001
