structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-94.85891
mdscoring_2.pdb	mdref_2.pdb	None	-99.22354000000001
mdscoring_3.pdb	mdref_3.pdb	None	-68.13547
mdscoring_4.pdb	mdref_4.pdb	None	-79.82121000000001
mdscoring_5.pdb	mdref_5.pdb	None	-64.91499
mdscoring_6.pdb	mdref_6.pdb	None	-81.64722
mdscoring_7.pdb	mdref_7.pdb	None	-79.22824000000001
mdscoring_8.pdb	mdref_8.pdb	None	-67.05071000000001
mdscoring_9.pdb	mdref_9.pdb	None	-80.17294
mdscoring_10.pdb	mdref_10.pdb	None	-78.62558
