structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-123.81692000000001
mdscoring_2.pdb	mdref_2.pdb	None	-136.7858
mdscoring_3.pdb	mdref_3.pdb	None	-111.52476
mdscoring_4.pdb	mdref_4.pdb	None	-127.81094
mdscoring_5.pdb	mdref_5.pdb	None	-117.38887000000001
mdscoring_6.pdb	mdref_6.pdb	None	-148.52370000000002
mdscoring_7.pdb	mdref_7.pdb	None	-115.25463
mdscoring_8.pdb	mdref_8.pdb	None	-124.74055999999999
mdscoring_9.pdb	mdref_9.pdb	None	-117.1795
mdscoring_10.pdb	mdref_10.pdb	None	-137.3633
